Time,Oxygen Level,Pulse Rate,Motion
17:53:15 16/08/2026,96,125,2
17:53:17 16/08/2026,96,124,1
17:53:19 16/08/2026,96,124,0
17:53:21 16/08/2026,96,124,1
17:53:23 16/08/2026,96,124,0
17:53:25 16/08/2026,96,123,1
17:53:27 16/08/2026,96,122,1
17:53:29 16/08/2026,96,122,2
17:53:31 16/08/2026,96,122,0
17:53:33 16/08/2026,96,122,0
17:53:35 16/08/2026,96,122,1
17:53:37 16/08/2026,96,122,0
17:53:39 16/08/2026,96,122,1
17:53:41 16/08/2026,96,122,0
17:53:43 16/08/2026,96,122,0
17:53:45 16/08/2026,96,121,1
17:53:47 16/08/2026,96,121,0
17:53:49 16/08/2026,96,121,0
17:53:51 16/08/2026,97,121,0
17:53:53 16/08/2026,97,120,0
17:53:55 16/08/2026,97,120,0
17:53:57 16/08/2026,96,120,0
17:53:59 16/08/2026,96,120,0
17:54:01 16/08/2026,96,120,0
17:54:03 16/08/2026,96,121,0
17:54:05 16/08/2026,96,121,0
17:54:07 16/08/2026,96,121,1
17:54:09 16/08/2026,96,121,0
17:54:11 16/08/2026,96,121,0
17:54:13 16/08/2026,96,121,0
17:54:15 16/08/2026,96,121,0
17:54:17 16/08/2026,96,120,0
17:54:19 16/08/2026,96,120,0
17:54:21 16/08/2026,96,120,0
17:54:23 16/08/2026,96,121,1
17:54:25 16/08/2026,96,121,1
17:54:27 16/08/2026,96,121,1
17:54:29 16/08/2026,96,121,0
17:54:31 16/08/2026,96,121,0
17:54:33 16/08/2026,96,121,0
17:54:35 16/08/2026,96,121,0
17:54:37 16/08/2026,96,121,0
17:54:39 16/08/2026,96,121,0
17:54:41 16/08/2026,96,121,12
17:54:43 16/08/2026,96,121,5
17:54:45 16/08/2026,96,121,6
17:54:47 16/08/2026,96,121,10
17:54:49 16/08/2026,96,121,5
17:54:51 16/08/2026,96,121,0
17:54:53 16/08/2026,96,122,0
17:54:55 16/08/2026,96,124,0
17:54:57 16/08/2026,96,125,2
17:54:59 16/08/2026,96,126,1
17:55:01 16/08/2026,96,126,2
17:55:03 16/08/2026,96,126,2
17:55:05 16/08/2026,96,126,2
17:55:07 16/08/2026,96,126,1
17:55:09 16/08/2026,96,123,2
17:55:11 16/08/2026,96,122,3
17:55:13 16/08/2026,95,120,0
17:55:15 16/08/2026,95,118,2
17:55:17 16/08/2026,95,120,1
17:55:19 16/08/2026,95,120,0
17:55:21 16/08/2026,96,119,1
17:55:23 16/08/2026,96,120,2
17:55:25 16/08/2026,96,120,2
17:55:27 16/08/2026,96,119,0
17:55:29 16/08/2026,95,120,1
17:55:31 16/08/2026,96,121,0
17:55:33 16/08/2026,96,121,1
17:55:35 16/08/2026,96,122,1
17:55:37 16/08/2026,96,122,0
17:55:39 16/08/2026,96,122,0
17:55:41 16/08/2026,96,122,0
17:55:43 16/08/2026,96,122,0
17:55:45 16/08/2026,97,121,0
17:55:47 16/08/2026,97,119,0
17:55:49 16/08/2026,96,118,0
17:55:51 16/08/2026,96,118,0
17:55:53 16/08/2026,96,116,0
17:55:55 16/08/2026,96,116,1
17:55:57 16/08/2026,96,117,0
17:55:59 16/08/2026,96,115,1
17:56:01 16/08/2026,96,116,2
17:56:03 16/08/2026,96,117,0
17:56:05 16/08/2026,96,118,0
17:56:07 16/08/2026,96,118,0
17:56:09 16/08/2026,95,118,0
17:56:11 16/08/2026,95,118,1
17:56:13 16/08/2026,96,118,2
17:56:15 16/08/2026,96,118,19
17:56:17 16/08/2026,96,117,0
17:56:19 16/08/2026,96,117,10
17:56:21 16/08/2026,96,117,7
17:56:23 16/08/2026,96,117,6
17:56:25 16/08/2026,96,119,6
17:56:27 16/08/2026,96,121,3
17:56:29 16/08/2026,96,124,15
17:56:31 16/08/2026,96,124,3
17:56:33 16/08/2026,96,123,2
17:56:35 16/08/2026,96,122,18
17:56:37 16/08/2026,96,119,0
17:56:39 16/08/2026,96,119,0
17:56:41 16/08/2026,96,119,4
